#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)"
51000,50.99999999997184,-548939.6296670116,110726.30962162069,-438213.32004539086,299.8918693381042,433.90371244970544,1.0149000523813323
52000,51.99999999996951,-549835.0288547236,110955.86814492673,-438879.1607097968,300.5136071609577,433.4705761407686,1.0159141698020393
53000,52.99999999996718,-550463.9104605941,110701.81317777681,-439762.0972828173,299.82552300757465,434.0861195635957,1.0144735817316188
54000,53.99999999996485,-549891.3829805041,110437.34426619107,-439454.038714313,299.10923365820236,433.6790106287581,1.0154259018789114
55000,54.99999999996252,-551272.9081881596,110272.27459895809,-441000.6335892015,298.66215787967525,434.2361857905968,1.014122993209095
56000,55.99999999996019,-550447.5773326322,110737.67247682501,-439709.90485580714,299.92264457029506,433.3141472222523,1.0162809207052956
57000,56.99999999995786,-550691.3682704605,111207.38073463482,-439483.9875358257,301.1948055224616,432.34080763710506,1.0185688991525734
58000,57.99999999995553,-550597.4885992408,110589.71483906813,-440007.77376017265,299.5219151255823,433.5139011187308,1.0158126402803684
59000,58.9999999999532,-550016.1862376695,110641.2805870517,-439374.90565061785,299.66157613848395,433.22335271800756,1.0164939118143619
60000,59.999999999950866,-550014.144534729,110641.64609155252,-439372.49844317645,299.6625660732915,433.26684411811175,1.0163918759811974
61000,60.999999999948535,-550111.605500469,110914.20523999672,-439197.40026047226,300.4007670736811,432.12010673361425,1.0190891227496883
62000,61.999999999946205,-549721.4446196621,110800.22474488348,-438921.21987477865,300.09206154683386,433.8192410882934,1.0150976692249438
63000,62.999999999943874,-551084.184234065,110965.44222981692,-440118.7420042481,300.53953767579856,433.2982042770976,1.0163183141466268
64000,63.999999999941544,-549806.8782324889,109899.88879919233,-439906.98943329655,297.65358571657924,434.1657950229174,1.0142874117257805
65000,64.99999999994631,-548328.8206974752,110398.26276405429,-437930.55793342093,299.0033850593247,433.57629442938605,1.0156664609009909
66000,65.99999999995109,-549870.2266751481,110767.05063334457,-439103.17604180356,300.00221256372373,432.3247130581469,1.0186068184226882
67000,66.99999999995586,-549968.7405034509,111146.77070040395,-438821.9698030469,301.0306489048677,434.1115592608803,1.0144141318038942
68000,67.99999999996064,-549791.47182295,110409.32223665749,-439382.14958629257,299.0333386080721,434.97680446693096,1.012396284057808
69000,68.99999999996541,-549430.0517019182,110208.5234188213,-439221.52828309697,298.48949376173385,432.12808636468463,1.019070304358836
70000,69.99999999997019,-550235.4251830312,110924.75403594214,-439310.6711470891,300.4293375023908,432.07269612702345,1.0192009456765074
71000,70.99999999997496,-550839.1951016663,111263.93544483575,-439575.2596568305,301.34797867363034,433.3711615504591,1.0161472187447036
72000,71.99999999997974,-549257.7929694913,111609.32901224634,-437648.463957245,302.28344489608537,435.04126601581834,1.0122462738457747
73000,72.99999999998451,-548410.3905586675,111088.6793547466,-437321.7112039209,300.87331392006524,433.26743698866267,1.0163904851801353
74000,73.99999999998929,-549868.0569391954,111236.87370316696,-438631.1832360284,301.2746844735045,431.53481709645126,1.0204713108820485
75000,74.99999999999406,-550712.8293583589,110947.49112550181,-439765.33823285706,300.4909187861404,432.23525600035214,1.0188176331763688
76000,75.99999999999883,-547430.8158649523,110952.82504471301,-436477.9908202393,300.50536520821134,434.1002785563304,1.0144404927777921
77000,77.00000000000361,-547708.6989090824,110422.96869650655,-437285.7302125759,299.0702987701868,433.07243639353936,1.0168481378332073
78000,78.00000000000838,-548102.9073912487,110961.38448883186,-437141.5229024169,300.52854766327613,433.5633494528796,1.0156967858315722
79000,79.00000000001316,-549599.9547107117,111054.65999172672,-438545.294718985,300.7811756522535,434.30411724589504,1.0139643696822975
80000,80.00000000001793,-549014.4908668972,111057.50641271553,-437956.9844541816,300.7888849176862,434.29870022700794,1.0139770168860274
81000,81.00000000002271,-549125.0041355696,111327.34601283453,-437797.65812273504,301.51972027540444,433.9972798977813,1.0146812454616765
82000,82.00000000002748,-547965.145433927,110592.53205411453,-437372.61337981245,299.52954528944747,433.11765163311435,1.0167419841542007
83000,83.00000000003226,-548943.7740679942,110732.52347885563,-438211.2505891386,299.90869899013865,433.732636500952,1.015300356565845
84000,84.00000000003703,-549665.5191797749,109712.28049530904,-439953.2386844659,297.1454661454748,434.3693803048996,1.013812023730931
85000,85.00000000004181,-549891.1485976675,110260.77377682472,-439630.37482084276,298.63100897694125,435.4391676596983,1.0113212894018184
86000,86.00000000004658,-549860.5126459636,110428.99768811674,-439431.51495784684,299.08662773094045,434.55777825686243,1.0133724961962671
87000,87.00000000005136,-549153.5760932341,111112.14019094105,-438041.4359022931,300.93685540398747,434.39832004383317,1.0137444832871936
88000,88.00000000005613,-549060.6224611332,110381.5856573722,-438679.036803761,298.95821667328227,434.16665916507196,1.0142853929422309
89000,89.00000000006091,-550294.9511464788,111002.17555828206,-439292.7755881967,300.6390264655728,434.8296726064474,1.01273884519888
90000,90.00000000006568,-550239.6116508413,110454.04066882323,-439785.5709820181,299.1544543055236,434.0185985101342,1.0146314052101113
91000,91.00000000007046,-550920.9687096281,109925.79234714423,-440995.1763624839,297.7237430571818,434.6769010959889,1.0130947823160603
92000,92.00000000007523,-549754.5594511349,110471.260968421,-439283.2984827139,299.20109387885157,434.1760938437246,1.0142633524455749
93000,93.00000000008001,-549536.6735634468,111161.5842085704,-438375.0893548764,301.0707699083643,434.64615841496783,1.0131664388788388
94000,94.00000000008478,-549417.6567971036,110711.87843238015,-438705.77836472343,299.8527838097153,434.1989528961222,1.014209955036475
95000,95.00000000008956,-549098.88346325,111175.21816867811,-437923.6652945719,301.1076962160969,435.17803838661814,1.0119281343476962
96000,96.00000000009433,-546727.5742504434,111260.37511838763,-435467.19913205574,301.33833586192975,436.9996773744314,1.0077098984133628
97000,97.0000000000991,-547570.9027003841,111209.50534609158,-436361.39735429257,301.20055983418354,434.3868377312535,1.0137712799808822
98000,98.00000000010388,-549113.4840378906,111422.07759823703,-437691.40643965354,301.7762919278762,433.4772651589602,1.0158984931589738
99000,99.00000000010866,-549657.5997250937,111204.29167045851,-438453.3080546352,301.186439080615,433.4226915092071,1.016026408216576
100000,100.00000000011343,-549869.0776246819,110286.38631153735,-439582.6913131445,298.7003781353618,434.8857781268753,1.0126081896501697
101000,101.0000000001182,-549463.5272254371,111088.71062437206,-438374.81660106505,300.8733986109257,434.7056413121331,1.0130278023639936
102000,102.00000000012298,-548544.3905336168,111061.53924157255,-437482.8512920442,300.7998074580362,434.68863421895566,1.0130674368445618
103000,103.00000000012776,-549388.1405089484,111334.33241694525,-438053.8080920031,301.53864229850694,434.6136058600919,1.0132423250353129
104000,104.00000000013253,-548503.9542621761,111284.10130953183,-437219.8529526442,301.40259603495304,434.97944367576895,1.012390141410703
105000,105.0000000001373,-549953.8029317707,110335.90351972159,-439617.8994120491,298.83449086952146,433.72832341308936,1.015310452931262
106000,106.00000000014208,-549079.4170645382,109862.74347717303,-439216.6735873652,297.552981080738,434.60962154317184,1.0132516140117636
107000,107.00000000014685,-549035.6647518133,111738.52527255728,-437297.139479256,302.63336090203313,435.3990862020536,1.0114143884291495
108000,108.00000000015163,-549432.7994773379,110992.07635521522,-438440.72312212264,300.6116737171891,433.09469928376427,1.016795867559511
109000,109.0000000001564,-550522.1596976188,111134.94620591163,-439387.21349170717,300.99862336577587,432.8549232405205,1.0173591123716177
110000,110.00000000016118,-548746.6513128318,110176.98041176965,-438569.67090106214,298.4040624728054,434.68701637231464,1.0130712073453771
111000,111.00000000016595,-549249.0121245328,110773.20383078692,-438475.8082937459,300.0188779243747,435.79888835653213,1.0104865162790175
112000,112.00000000017073,-548720.6735193226,111428.47765092272,-437292.1958683999,301.79362587290086,434.87137271673805,1.0126417329854995
113000,113.0000000001755,-549541.068333603,110901.5764966642,-438639.4918369388,300.36656330171104,435.48891400536144,1.011205765132839
114000,114.00000000018028,-548689.5087392754,110711.69662990712,-437977.8121093683,299.85229141469483,433.54821730658034,1.0157322367266408
115000,115.00000000018505,-549964.3609615681,112002.78836054436,-437961.5726010237,303.34909279740947,433.64495438513114,1.0155056482049085
116000,116.00000000018983,-549666.4719921798,110880.02189117363,-438786.45010100614,300.30818466563534,434.3389870089685,1.0138829662200404
117000,117.0000000001946,-548808.4054096253,110407.0668628692,-438401.3385467561,299.02723013878654,434.1617258504278,1.0142969181151893
118000,118.00000000019938,-549078.4183637905,111607.9834490171,-437470.4349147734,302.27980056373553,434.1597862788175,1.0143014493996818
119000,119.00000000020415,-549260.5940720937,109439.28016691725,-439821.3139051765,296.40607025039714,433.2370931851947,1.016461672882237
120000,120.00000000020893,-550119.2538151592,110863.82675259546,-439255.4270625637,300.2643216451933,432.766520921239,1.0175669309082371
121000,121.0000000002137,-550088.0982675296,110757.38185066811,-439330.7164168615,299.9760255687722,433.8710235376926,1.014976517452089
122000,122.00000000021848,-550826.8052829052,110255.1100268322,-440571.695256073,298.6156692390007,432.9821200768722,1.0170602435395644
123000,123.00000000022325,-550079.1227454487,110335.19399626803,-439743.9287491807,298.832569191507,433.15828797147475,1.0166465994589504
124000,124.00000000022803,-548836.6738312803,110738.79631708423,-438097.8775141961,299.9256883866863,434.1589676601469,1.0143033618929522
125000,125.0000000002328,-549925.5894941953,110826.91636766715,-439098.67312652816,300.1643533145231,434.2839243017389,1.014011516087558
126000,126.00000000023758,-549338.0856486871,110062.11569121573,-439275.96995747136,298.09296210392625,433.72343465774213,1.0153218971005395
127000,127.00000000024235,-549750.381912394,110376.85914561807,-439373.5227667759,298.94541535758566,434.38995349268595,1.0137640084741861
128000,128.00000000024713,-550061.1971443067,110683.05805473682,-439378.1390895699,299.7747265082841,434.9429437607073,1.0124751000350487
129000,129.0000000002519,-550201.5162249575,111304.72068186098,-438896.79554309655,301.4584416793486,432.0221292822327,1.019320239973113
130000,130.00000000025668,-550042.0848212792,110505.76045727369,-439536.3243640055,299.29453252264454,433.49953757880405,1.0158462981373027
131000,131.00000000026145,-550372.2816821295,110101.3129873034,-440270.96869482606,298.19912431990633,434.4424536940602,1.0136415001554473
132000,132.00000000026623,-550178.384227505,110174.6031347345,-440003.78109277046,298.39762383995975,433.7161759265232,1.0153388896619444
133000,133.000000000271,-550306.5759770703,109975.75336426753,-440330.82261280273,297.85905780640746,433.1652582129255,1.0166302401777432
134000,134.00000000027578,-550877.6810958586,109423.3703361759,-441454.3107596827,296.36297995958745,433.00061404232326,1.0170168037004612
135000,135.00000000028055,-551241.5324137178,109612.53285424394,-441628.9995594739,296.8753089746696,431.27973574334203,1.0210748708947635
136000,136.00000000028533,-551315.8610570817,110809.3575560801,-440506.5035010016,300.11679691308444,432.86216235787697,1.0173420982210437
137000,137.0000000002901,-550126.1368530733,110790.89126758045,-439335.2455854928,300.0667826951734,434.0148275913527,1.0146402207905454
138000,138.00000000029488,-548687.5363258733,111324.6146390579,-437362.92168681545,301.5123226046021,432.98494306057,1.0170536124903025
139000,139.00000000029965,-549403.6908814758,110100.28433198197,-439303.40654949384,298.1963383030301,432.51568891996624,1.0181570559747892
140000,140.00000000030442,-550482.9055919563,111002.64117361797,-439480.26441833837,300.6402875412282,434.19913336951566,1.0142095334835555
141000,141.0000000003092,-548880.6558100986,110751.92406974209,-438128.73174035654,299.9612436788137,433.15336023453784,1.0166581652632587
142000,142.00000000031397,-549150.3256740975,110367.9690732566,-438782.3566008409,298.9213374268017,433.05355227021414,1.0168924794291536
143000,143.00000000031875,-549643.4891371639,110494.7870819351,-439148.70205522876,299.2648121602981,433.14094221673906,1.0166873125406481
144000,144.00000000032352,-549365.8890830772,110036.39337361371,-439329.4957094635,298.02329560880196,433.71545041183805,1.015340588110257
145000,145.0000000003283,-549515.589291322,110346.14399948344,-439169.4452918386,298.8622262526404,435.33516798596617,1.011562889648871
146000,146.00000000033307,-550204.8011440155,111072.76309118787,-439132.03805282764,300.83020620657044,433.8406903599613,1.0150474823564448
147000,147.00000000033785,-549872.6310942327,110914.55394028907,-438958.0771539436,300.4017114958592,433.3807104926757,1.0161248293516354
148000,148.00000000034262,-549086.8535221755,110057.87132928707,-439028.9821928884,298.0814666460058,435.7096897248128,1.010693383412681
149000,149.0000000003474,-549770.7194310683,109905.23085026385,-439865.48858080443,297.6680541630344,436.4096144945307,1.0090724078196944
150000,150.00000000035217,-549048.050647025,109691.75765360729,-439356.2929934177,297.0898819452689,434.2148496712835,1.0141728244140795
151000,151.00000000035695,-549896.683312064,111019.16467089509,-438877.51864116895,300.6850398905422,433.52215453984104,1.0157933011776226
152000,152.00000000036172,-550012.9220167538,110863.31070897833,-439149.6113077755,300.2629239892475,433.8226200291267,1.0150897628715037
153000,153.0000000003665,-549312.9648261592,110569.15077514024,-438743.8140510189,299.4662192788265,434.7150077560982,1.0130059754935687
154000,154.00000000037127,-548402.2833589613,111278.68805984085,-437123.5952991205,301.387934753686,434.180000824282,1.0142542255691858
155000,155.00000000037605,-549477.2386029041,111119.25050641858,-438357.98809648555,300.9561130294554,433.9622033756039,1.0147632606439496
156000,156.00000000038082,-550401.1172763924,109935.79504556023,-440465.3222308322,297.7508344317308,433.8681812381206,1.0149831666313696
157000,157.0000000003856,-549964.4064302128,110904.09483579372,-439060.31159441906,300.37338398806605,433.19052893091197,1.016570933765483
158000,158.00000000039037,-548150.3566192761,110313.31407757523,-437837.0425417009,298.77330947500263,434.13160154723624,1.014367299971241
159000,159.00000000039515,-549684.9917534031,110982.79525259274,-438702.1965008103,300.58653671745986,434.07395246513806,1.0145020174391324
160000,160.00000000039992,-549753.1988557181,110853.64507360174,-438899.5537821164,300.23674551846375,435.80843315386556,1.01046438525017
161000,161.0000000004047,-549675.6112686321,110541.75220184424,-439133.8590667879,299.3920128016937,434.39304768103955,1.0137567874175761
162000,162.00000000040947,-550492.7849283046,110534.40107198711,-439958.3838563175,299.3721029529673,433.58163565040803,1.0156539490725227
163000,163.00000000041425,-549411.5474623591,109957.81700373197,-439453.7304586271,297.81047884889944,434.5525558715793,1.0133846747499058
164000,164.00000000041902,-549300.3140415079,110927.53905343503,-438372.77498807287,300.43688046218904,432.6460206570723,1.0178503429312937
165000,165.0000000004238,-548660.5744742653,110470.93894561101,-438189.6355286543,299.2002217101431,434.3236307475645,1.0139188138017978
166000,166.00000000042857,-550155.5857018065,111028.93469006325,-439126.65101174323,300.7115010750775,433.5367268335374,1.015759157730474
167000,167.00000000043335,-549269.6800256595,111119.81414065114,-438149.86588500836,300.95763958013885,435.6227726710498,1.0108950406644484
168000,168.00000000043812,-549364.8491857923,109729.8533110157,-439634.99587477656,297.1930604757638,434.6948402036999,1.0130529736384766
169000,169.0000000004429,-549254.8313331129,111278.08313735586,-437976.74819575704,301.3862963776266,433.61203994947743,1.0155827327695295
170000,170.00000000044767,-548855.5085684936,110901.30926023347,-437954.19930826017,300.36583951679455,435.49791739761025,1.011184859677763
171000,171.00000000045245,-550609.1263246257,110653.69470041525,-439955.43162421044,299.6951986052264,432.4509946977584,1.0183093712188962
172000,172.00000000045722,-551581.9257538798,110698.62698914806,-440883.29876473173,299.81689351321864,432.22095132105045,1.018851351716539
173000,173.000000000462,-550952.4660375896,109959.3413699482,-440993.12466764136,297.81460745244186,432.8093365656032,1.0174662681448683
174000,174.00000000046677,-549822.2251598653,110797.52816537814,-439024.6969944872,300.084758113066,432.6964123928609,1.0177318042883
175000,175.00000000047154,-550646.3815273223,110921.53540224064,-439724.8461250817,300.4206201335852,433.7165793860955,1.0153379451552929
176000,176.00000000047632,-548465.3985528108,110945.9271245529,-437519.4714282579,300.4866828356259,434.98781644850936,1.012370654629101
177000,177.0000000004811,-548303.6973542105,110776.56657823635,-437527.1307759742,300.02798561180845,435.7709468235858,1.010551308442176
178000,178.00000000048587,-549888.5866024364,111053.03661691162,-438835.54998552473,300.77677889316703,433.23820683421803,1.016459060043546
179000,179.00000000049064,-549694.7983080521,110962.2839879797,-438732.5143200724,300.53098387271757,432.7599020096633,1.0175824942390976
180000,180.00000000049542,-548470.5321676233,111050.42555691139,-437420.1066107119,300.7697070809925,433.9930859790849,1.0146910508958729
181000,181.0000000005002,-549713.0083316374,110568.16913482617,-439144.8391968112,299.4635605977072,433.9966521124199,1.0146827132196174
182000,182.00000000050497,-548840.8912946368,110818.35128719761,-438022.54000743915,300.14115559392883,434.201274434955,1.0142045323720708
183000,183.00000000050974,-549629.8145442908,110248.35912859498,-439381.4554156958,298.59738506156367,433.76394800892626,1.0152270665071466
184000,184.00000000051452,-549812.9281764831,110740.68439544551,-439072.2437810376,299.9308020706081,433.5975771174538,1.015616607964515
185000,185.0000000005193,-549052.6515289559,110676.97770409152,-438375.6738248644,299.7582584463802,435.250546965728,1.0117595567969169
186000,186.00000000052407,-549257.3165805847,111419.2440220738,-437838.07255851093,301.768617451454,435.6021899273902,1.0109428067087198
187000,187.00000000052884,-548166.998539472,110415.36042627739,-437751.6381131946,299.049692480776,434.52239718784614,1.013455010244931
188000,188.00000000053362,-549128.6691695652,111419.1823847086,-437709.4867848566,301.76845051240645,434.7969307429847,1.0128151082878034
189000,189.0000000005384,-549449.1929602437,110665.40463608922,-438783.78832415445,299.72691387245686,433.5953693584529,1.0156217792298607
190000,190.00000000054317,-548781.8794078217,110431.7425550425,-438350.1368527792,299.09406194667713,433.3809620854401,1.0161242394557304
191000,191.00000000054794,-550056.9949772134,110341.66913267066,-439715.32584454276,298.8501064937673,433.0283338348628,1.0169517005822468
192000,192.00000000055272,-549777.7724072193,110096.47691352852,-439681.29549369076,298.18602626570794,431.8359751264555,1.019759644537967
193000,193.0000000005575,-550631.9802814205,111774.96679907592,-438857.01348234457,302.73205937348547,433.85128493376595,1.0150226950713992
194000,194.00000000056227,-549680.1076920489,109789.56745526512,-439890.5402367838,297.35479065900637,434.73109006384186,1.0129685006632279
195000,195.00000000056704,-550063.533357027,111209.54727718211,-438853.9860798449,301.20067340062644,433.0971010836796,1.0167902287773014
196000,196.00000000057182,-549762.4343882059,110593.72657314874,-439168.70781505713,299.53278053270043,432.18257578109905,1.0189418203585976
197000,197.0000000005766,-549864.7337247864,110608.15967168938,-439256.57405309705,299.5718712322504,434.0751540782254,1.0144992090800502
198000,198.00000000058137,-550530.2547056279,111398.45232491964,-439131.8023807083,301.71230508136256,433.250417180577,1.0164304130608988
199000,199.00000000058614,-549747.9289312791,111108.19569572221,-438639.73323555687,300.9261721070473,431.7017365873229,1.0200767408879405
200000,200.00000000059092,-549466.8905790728,111168.89562768838,-438297.9949513844,301.0905722042621,434.613595338721,1.0132423495644542
201000,201.0000000005957,-549085.3518661456,110804.78507354003,-438280.56679260556,300.1044127711299,433.9078700667169,1.014890327815327
202000,202.00000000060047,-549410.3761267527,111022.08681609336,-438388.28931065934,300.69295424792466,433.4560587708791,1.0159481949390297
203000,203.00000000060524,-548870.8766574087,111358.7845747922,-437512.09208261647,301.60486868454944,434.16603085856315,1.0142868607726665
204000,204.00000000061002,-549801.2039038953,110886.93375362462,-438914.2701502707,300.32690479961354,432.8483442793156,1.017374575445972
205000,205.0000000006148,-550209.4935942171,110884.76201019793,-439324.7315840192,300.3210228353525,434.7106894764678,1.0130160383771725
206000,206.00000000061956,-548720.2376188696,110741.24779123522,-437978.9898276344,299.9323279754913,434.03715792010826,1.0145880196154031
207000,207.00000000062434,-549259.0279084346,110695.3049314961,-438563.72297693853,299.8078960303015,433.06066770465776,1.0168757713041419
208000,208.00000000062911,-548470.6083485293,110322.87415135832,-438147.734197171,298.79920204206843,433.01144832623504,1.0169913571474036
209000,209.0000000006339,-549153.3982143993,111995.60130323621,-437157.79691116314,303.3296273238599,433.9383285971343,1.0148190917297293
210000,210.00000000063866,-549842.5054426445,111188.65175217343,-438653.85369047103,301.14407982248713,434.0719036628985,1.0145068058485822
211000,211.00000000064344,-549737.1563627208,111502.04289859085,-438235.1134641299,301.99287047625586,434.91150768243284,1.0125482833055148
212000,212.0000000006482,-549665.8165085828,110976.66392716352,-438689.1525814193,300.5699305951139,434.8498944676493,1.0126917497192172
213000,213.000000000653,-549298.216013114,110483.73406821629,-438814.4819448977,299.23487610483596,433.92818802159746,1.0148428072889852
214000,214.00000000065776,-550938.56983288,111330.8181455055,-439607.75168737455,301.5291242224956,432.53367666885157,1.018114713945864
215000,215.00000000066254,-550113.0920564975,110866.38902368111,-439246.70303281635,300.27126131714897,433.83457382396466,1.015061793282403
216000,216.0000000006673,-550193.6890628273,110629.20888248377,-439564.4801803435,299.6288810539882,433.29748415831125,1.0163200032169255
217000,217.0000000006721,-549952.2572035803,110731.40569412522,-439220.8515094551,299.9056715745816,433.1009977988418,1.0167810804679662
218000,218.00000000067686,-548520.6015501758,110429.84551309905,-438090.75603707676,299.08892398573016,434.80708503372074,1.012791455455489
219000,219.00000000068164,-549499.8276943965,110934.22356078029,-438565.6041336162,300.4549848260952,433.6499235649968,1.0154940115598954
220000,220.0000000006864,-550328.4467064659,110632.24036231649,-439696.2063441494,299.6370915340178,435.1685250326416,1.0119502564222191
221000,221.0000000006912,-550069.2726343139,110765.71477085502,-439303.5578634589,299.9985945049215,433.5088204260948,1.015824545532483
222000,222.00000000069596,-550582.9210077277,110894.14255582198,-439688.77845190576,300.3464291671649,433.44936083479007,1.0159638940187707
223000,223.00000000070074,-550354.3793593915,111348.05546714476,-439006.32389224676,301.57580989843336,432.97108934060856,1.0170861550232337
